出表日期,發言日期,發言時間,公司代號,公司名稱,主旨,符合條款,事實發生日,說明
"1150731","1150730","64613","2885","元大金","元大金控公告金融監督管理委員會核准本公司
以股份轉換方式將元大證券投資信託股份有限公司
納為本公司百分之百持股之子公司","第51款","1150729","1.事實發生日:115/07/29
2.公司名稱:元大金融控股股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
本公司向金融監督管理委員會申請以股份轉換方式將元大證券投資信託股份有限公司
納為本公司百分之百持股之子公司乙案，業奉金融監督管理委員會於115年7月29日
以金管銀控字第1150224616號函覆同意照辦在案。
6.因應措施:無
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):
無"
"1150731","1150730","65253","2885","元大金","元大金控代子公司元大投信公告金融監督管理委員會核准
元大投信以股份轉換方式成為元大金控100%持股子公司","第51款","1150729","1.事實發生日:115/07/29
2.公司名稱:元大證券投資信託股份有限公司
3.與公司關係(請輸入本公司或子公司):子公司
4.相互持股比例:不適用
5.發生緣由:
元大金控向金融監督管理委員會（下稱金管會）申請以股份轉換方式將元大投信納為
百分之百持股之子公司案，業經金管會於115年7月29日同意
6.因應措施:無
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):
無"
"1150731","1150730","70003","1721","三晃","公告本公司名稱由「三晃股份有限公司」更名為
「國慶科技股份有限公司」
，公告期間：115年07月01日至115年9月30日。","第51款","1150629","1.事實發生日：民國115年06月29日
2.公司名稱：國慶科技股份有限公司(原名：三晃股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年06月29日
(2)公司名稱變更核准文號：11530099260
(3)更名案股東會決議通過日期：民國115年06月16日
(4)變更前公司名稱：三晃股份有限公司
(5)變更後公司名稱：國慶科技股份有限公司
(6)變更前公司簡稱：三晃
(7)變更後公司簡稱：國慶科技
6.因應措施：無
7.其他應敘明事項：(1)本公司於115/07/01收到經濟部變更登記核准函。
(2)依據臺灣證券交易所股份有限公司營業細則第45條規定，於更名後須連續公告三個月。
(3)本公司股票代號未變動，普通股仍為「1721」。
(4)本公司英文名未更動，仍為「SUNKO INK CO., LTD.」"
"1150731","1150730","70003","3708","上緯投控","公告本公司名稱由「上緯國際投資控股股份有限公司」更名為
「上緯國際控股股份有限公司」，公告期間：115年6月11日至
115年9月10日。","第51款","1150611","1.事實發生日：民國115年06月11日
2.公司名稱：上緯國際控股股份有限公司(原名：上緯國際投資控股股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國115年06月11日
(2)公司名稱變更核准文號：經授商字第11530084540號函
(3)更名案股東會決議通過日期：民國115年05月28日
(4)變更前公司名稱：上緯國際投資控股股份有限公司
(5)變更後公司名稱：上緯國際控股股份有限公司
(6)變更前公司簡稱：上緯投控
(7)變更後公司簡稱：上緯控股
6.因應措施：無
7.其他應敘明事項：(1)本公司於115/6/11收到經濟部變更登記核准函。
(2)依據臺灣證券交易所股份有限公司營業細則第45條規定，於更
名後須連續公告三個月。
(3)本公司股票代號未變動，普通股仍為「3708」"
"1150731","1150730","72103","3563","牧德","公告本公司董事會決議通過私募普通股補辦公開發行
暨申請上市","第51款","1150729","1.事實發生日:115/07/29
2.公司名稱:牧德科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:本公司112年私募普通股，
其交付日112年07月26日
至到期日115年07月26日屆滿三年，
擬依相關法規向臺灣證券交易所提出私募股票掛牌買賣申請，
待取得臺灣證券交易所同意函後申請補辦公開發行事宜.
本公司董事會決議通過私募普通股補辦公開發行暨申請上市，
相關作業，如遇法令變更、依主管機關指示或其他未盡事宜，
授權董事長全權處理之。
6.因應措施:無
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無"
"1150731","1150730","91303","5525","順天","本公司受邀參加由群益金鼎證券所舉辦之線上法說會，報告本公司營運概況","第12款","1150731","符合條款第四條第XX款：12
事實發生日：115/07/31
1.召開法人說明會之日期：115/07/31
2.召開法人說明會之時間：14 時 30 分 
3.召開法人說明會之地點：線上法說會
4.法人說明會擇要訊息：本公司受邀參加由群益金鼎證券所舉辦之線上法說會，報告本公司營運概況
5.其他應敘明事項：無
完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。"
"1150731","1150730","100417","2483","百容","115年第二季財務報告董事會預計召開日期為115年08月07日","第31款","1150730","1.董事會召集通知日:115/07/30
2.董事會預計召開日期:115/08/07
3.預計提報董事會或經董事會決議之財務報告或
年度自結財務資訊年季:115年第二季
4.其他應敘明事項:無"
"1150731","1150730","102346","2387","精元","公告115年第二季財務報告董事會預計召開日期為115年8月7日","第31款","1150730","1.董事會召集通知日:115/07/30
2.董事會預計召開日期:115/08/07
3.預計提報董事會或經董事會決議之財務報告或
年度自結財務資訊年季:115年第二季
4.其他應敘明事項:無"
"1150731","1150730","112523","8341","日友","公告本公司115年第二季財務報告董事會預計召開日期為
115年08月07日","第31款","1150730","1.董事會召集通知日:115/07/30
2.董事會預計召開日期:115/08/07
3.預計提報董事會或經董事會決議之財務報告或
年度自結財務資訊年季:115年第二季財務報告
4.其他應敘明事項:無"
"1150731","1150730","114520","6951","青新-創","公告本公司115年第二季合併財務報告董事會召開日期為
115年8月7日","第31款","1150730","1.董事會召集通知日:115/07/30
2.董事會預計召開日期:115/08/07
3.預計提報董事會或經董事會決議之財務報告或
年度自結財務資訊年季:115年第二季合併財務報告。
4.其他應敘明事項:無。"
