出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150717","11506","1101","台泥","水泥工業","13382706","12612013","10107877","6.110785011084273","32.39878166305348","71467332","70380916","1.5436229900730476","-"
"1150717","11506","1102","亞泥","水泥工業","5885972","6296531","6019299","-6.520399883681983","-2.2149921444340945","32706448","35260444","-7.243232671715648","-"
"1150717","11506","1103","嘉泥","水泥工業","229237","230485","247791","-0.541466906740135","-7.4877618638287915","1355713","1521022","-10.86828461389776","-"
"1150717","11506","1104","環泥","水泥工業","508460","655816","627049","-22.46910718860168","-18.91223811855214","3559282","3897477","-8.677280199472634","-"
"1150717","11506","1108","幸福","水泥工業","265297","335095","361327","-20.82931705934138","-26.577034099306168","1903969","2373296","-19.77532511747376","-"
"1150717","11506","1109","信大","水泥工業","314135","348178","390871","-9.777470144581219","-19.63205251860588","1857846","2222076","-16.391428555998985","-"
"1150717","11506","1110","東泥","水泥工業","213484","233647","222403","-8.629684952085839","-4.010287631012171","1267326","1488991","-14.886926784648127","-"
"1150717","11506","1201","味全","食品工業","1825679","1825310","1736584","0.020215744174962063","5.130474540822672","10445618","10731978","-2.6682872439731056","-"
"1150717","11506","1203","味王","食品工業","427563","432673","432438","-1.1810304779822176","-1.127329235636091","2610790","2944445","-11.331677107230734","-"
"1150717","11506","1210","大成","食品工業","8952188","9065705","7980681","-1.252158546963529","12.173234339275057","53681329","50471928","6.358784233485196","-"
"1150717","11506","1213","大飲","食品工業","25270","22834","23916","10.668301655426118","5.661481853152701","150587","135192","11.387508136576129","-"
"1150717","11506","1215","卜蜂","食品工業","2419781","2488775","2226284","-2.772207210374582","8.69147871520435","14401643","13757991","4.67838654640783","-"
"1150717","11506","1216","統一","食品工業","58301112","59180335","55738019","-1.4856674941093186","4.598464470005653","349977990","338838287","3.2876163725854273","-"
"1150717","11506","1217","愛之味","食品工業","414313","376355","424548","10.085690372122066","-2.41079925002591","2353549","2427740","-3.0559697496437015","-"
"1150717","11506","1218","泰山","食品工業","713728","821022","809797","-13.06834652421007","-11.863343529304258","5032265","4935865","1.9530517953793307","-"
"1150717","11506","1219","福壽","食品工業","1104022","1115075","1099572","-0.9912337735129924","0.4047029207728098","7076264","7139489","-0.8855675805369264","-"
"1150717","11506","1220","台榮","食品工業","273600","239785","255918","14.102216569009737","6.909244367336412","1508233","1555054","-3.010892226250664","-"
"1150717","11506","1225","福懋油","食品工業","1006736","1031005","984253","-2.353916809326822","2.2842704060846146","6429101","6231711","3.167508891217837","-"
"1150717","11506","1227","佳格","食品工業","1949498","2282197","1980512","-14.57801408029193","-1.565958701588276","13933697","13055092","6.7299793827573176","-"
"1150717","11506","1229","聯華","食品工業","1027017","786408","2140098","30.595950193792536","-52.0107490404645","5034007","6531639","-22.928885077696425","本公司本月營收衰退主因去年度於6月認列聯強現金股利收入，而今年度預計於7月認列。"
"1150717","11506","1231","聯華食","食品工業","1030161","986344","963173","4.442364935560008","6.954929176793785","6373030","6105448","4.382675931397663","-"
"1150717","11506","1232","大統益","食品工業","1866048","1831688","1604514","1.8758653220417452","16.299888938332728","11481997","10501378","9.338003069692377","-"
"1150717","11506","1233","天仁","食品工業","195470","188910","163079","3.4725530675983274","19.862152698998646","1131434","1079445","4.81627132461589","-"
"1150717","11506","1234","黑松","食品工業","728270","694368","768937","4.88242545739435","-5.288729765897596","4436616","4696718","-5.53795224665394","-"
"1150717","11506","1235","興泰","食品工業","11632","7962","12486","46.09394624466214","-6.839660419670031","93426","68170","37.04855508288103","泰宇網通累計1-6月營收較去年同期增加27,045仟元"
"1150717","11506","1236","宏亞","食品工業","110212","107321","96579","2.6937877954920286","14.115905113948166","885268","849982","4.151382029266502","-"
"1150717","11506","1256","鮮活果汁-KY","食品工業","575547","475678","377955","20.99508491038055","52.279239592014925","2647743","1795189","47.491044118474434","直飲產品銷量增加，致本月營收較去年同期成長。"
"1150717","11506","1301","台塑","塑膠工業","13976274","14951422","14362122","-6.522108733202768","-2.686566790060689","89239090","92589306","-3.6183617144727274","-"
"1150717","11506","1303","南亞","塑膠工業","27134592","28830982","20589873","-5.883913354043924","31.786106694295782","152243276","131267601","15.979323793690721","-"
