交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/07/29,TX,202608  ,41915,42070,39442,40392,-1181,-2.84%,124405,40328,108507,40364,40385,49470,39442,,一般,,
2026/07/29,TX,202608  ,41779,42108,41178,41889,316,0.76%,54682,-,-,41879,41908,49470,41178,,盤後,,
2026/07/29,TX,202609  ,41963,42133,39643,40524,-1219,-2.92%,1698,40506,4829,40521,40548,49651,24962,,一般,,
2026/07/29,TX,202609  ,42002,42222,41351,41960,217,0.52%,313,-,-,42019,42053,49651,24962,,盤後,,
2026/07/29,TX,202610  ,42360,42360,39900,40669,-1308,-3.12%,80,40670,117,40694,40727,46770,39900,,一般,,
2026/07/29,TX,202610  ,42129,42360,41688,42180,203,0.48%,38,-,-,42209,42259,46770,41688,,盤後,,
2026/07/29,TX,202612  ,42060,42140,40374,41086,-1328,-3.13%,28,41038,379,40991,41085,50228,27382,,一般,,
2026/07/29,TX,202612  ,42400,42400,42400,42400,-14,-0.03%,2,-,-,42578,42643,50228,27382,,盤後,,
2026/07/29,TX,202703  ,42583,42583,40980,41251,-1944,-4.50%,23,41683,116,41615,41752,50802,32400,,一般,,
2026/07/29,TX,202703  ,-,-,-,-,-,-,0,-,-,43309,43390,50802,32400,,盤後,,
2026/07/29,TX,202706  ,43756,43756,41461,41546,-2410,-5.48%,48,42422,58,42301,42543,51411,41461,,一般,,
2026/07/29,TX,202706  ,44033,44033,43900,43900,-56,-0.13%,14,-,-,44079,44188,51411,43900,,盤後,,
2026/07/29,TX,202608/202609    ,146,161,146,161,-,-,1193,-,-,156,163,273,121,,一般,450,
2026/07/29,TX,202608/202609    ,159,159,133,140,-,-,79,-,-,140,145,273,121,,盤後,170,
2026/07/29,TX,202608/202610    ,355,355,355,355,-,-,1,-,-,330,342,572,355,,一般,74,
2026/07/29,TX,202608/202610    ,391,391,355,355,-,-,2,-,-,330,351,572,355,,盤後,27,
2026/07/29,TX,202608/202612    ,735,735,735,735,-,-,1,-,-,601,700,1070,735,,一般,16,
2026/07/29,TX,202608/202612    ,782,782,782,782,-,-,1,-,-,699,735,1070,782,,盤後,0,
2026/07/29,TX,202608/202703    ,1476,1476,1346,1346,-,-,15,-,-,1251,1367,1995,1346,,一般,3,
2026/07/29,TX,202608/202706    ,2249,2249,2213,2213,-,-,3,-,-,1825,2158,2736,2213,,一般,39,
2026/07/29,TX,202608/202706    ,-,-,-,-,-,-,0,-,-,2200,2280,2736,2349,,盤後,13,
2026/07/29,TX,202609/202610    ,238,238,236,236,-,-,2,-,-,-,234,238,236,,盤後,1,
2026/07/29,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,470,590,861,104,,一般,2,
2026/07/29,TX,202612/202703    ,-,-,-,-,-,-,0,-,-,-,-,843,329,,一般,6,
