日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2026/07/29,臺股期貨,自營商,12186,98976083,11803,95988311,383,2987772,7399,59800062,4847,39158704,2552,20641358
2026/07/29,臺股期貨,投信,1407,11530316,1551,12513302,-144,-982986,78241,631060610,3499,28221534,74742,602839076
2026/07/29,臺股期貨,外資及陸資,112272,918607328,112797,922657025,-525,-4049697,11982,96678008,94767,764543287,-82785,-667865279
2026/07/29,電子期貨,自營商,58,601534,72,747962,-14,-146428,18,183156,153,1556260,-135,-1373104
2026/07/29,電子期貨,投信,10,101528,8,80096,2,21432,198,2013937,0,0,198,2013937
2026/07/29,電子期貨,外資及陸資,291,2987988,273,2800583,18,187405,15,152571,296,3010734,-281,-2858163
2026/07/29,金融期貨,自營商,60,183230,33,100748,27,82482,22,67250,91,278169,-69,-210919
2026/07/29,金融期貨,投信,0,0,0,0,0,0,38,116158,0,0,38,116158
2026/07/29,金融期貨,外資及陸資,256,782568,276,843505,-20,-60937,85,259828,154,470747,-69,-210919
2026/07/29,小型臺指期貨,自營商,18123,37119771,17588,35986736,535,1133036,3045,6154039,9319,18864209,-6274,-12710170
2026/07/29,小型臺指期貨,投信,0,0,10,20172,-10,-20172,130,262132,119,239952,11,22180
2026/07/29,小型臺指期貨,外資及陸資,239588,491618252,237224,486760222,2364,4858030,3797,7656570,4528,9138152,-731,-1481582
2026/07/29,微型臺指期貨,自營商,38505,15826248,35277,14415100,3228,1411148,1905,776337,66952,27068397,-65047,-26292060
2026/07/29,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
2026/07/29,微型臺指期貨,外資及陸資,319844,131402335,321762,132161062,-1918,-758727,2311,931980,8235,3321426,-5924,-2389446
2026/07/29,小型電子期貨,自營商,235,306741,210,273610,25,33131,141,179346,147,186899,-6,-7553
2026/07/29,小型電子期貨,投信,0,0,0,0,0,0,77,97900,0,0,77,97900
2026/07/29,小型電子期貨,外資及陸資,1061,1366667,1062,1369001,-1,-2334,29,36871,43,54671,-14,-17800
2026/07/29,小型金融期貨,自營商,65,50137,73,55565,-8,-5428,31,23690,22,16812,9,6878
2026/07/29,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
2026/07/29,小型金融期貨,外資及陸資,236,180556,242,185161,-6,-4605,36,27511,2,1528,34,25983
2026/07/29,股票期貨,自營商,78058,29636524,54891,23117040,23167,6519484,108858,30228436,308040,161930873,-199182,-131702437
2026/07/29,股票期貨,投信,66,12687,66,12674,0,13,150,58466,216,36711,-66,21755
2026/07/29,股票期貨,外資及陸資,438052,199399508,407144,175337295,30908,24062213,253266,156356589,591480,266727452,-338214,-110370863
2026/07/29,ETF期貨,自營商,10831,4294261,9574,3401604,1257,892658,12868,4830969,49818,23728714,-36950,-18897745
2026/07/29,ETF期貨,投信,260,242410,0,0,260,242410,7856,6575860,50,20520,7806,6555340
2026/07/29,ETF期貨,外資及陸資,15227,9392901,15851,9933655,-624,-540754,15725,12107024,3497,2215951,12228,9891073
2026/07/29,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
2026/07/29,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
2026/07/29,櫃買指數期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
2026/07/29,非金電期貨,自營商,89,13204,35,5242,54,7961,247,36574,484,71656,-237,-35082
2026/07/29,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
