日期,商品(契約),商品名稱(契約名稱),到期月份(週別),交易人類別,前五大交易人買方,前五大交易人賣方,前十大交易人買方,前十大交易人賣方,全市場未沖銷部位數
2026/07/29,BRF    ,布蘭特原油期貨,202609  ,0,22,20,23,23,23
2026/07/29,BRF    ,布蘭特原油期貨,202609  ,1,0,5,0,5,23
2026/07/29,BRF    ,布蘭特原油期貨,999999  ,0,53,49,69,67,72
2026/07/29,BRF    ,布蘭特原油期貨,999999  ,1,0,0,0,5,72
2026/07/29,BTF    ,臺灣生技期貨,202608  ,0,4,4,4,4,4
2026/07/29,BTF    ,臺灣生技期貨,202608  ,1,0,0,0,0,4
2026/07/29,BTF    ,臺灣生技期貨,999999  ,0,12,12,12,12,12
2026/07/29,BTF    ,臺灣生技期貨,999999  ,1,0,0,0,0,12
2026/07/29,CA     ,南亞期貨,202608  ,0,3451,4529,4072,5878,6741
2026/07/29,CA     ,南亞期貨,202608  ,1,3251,4529,3503,5878,6741
2026/07/29,CA     ,南亞期貨,999999  ,0,3525,4923,4236,6426,7361
2026/07/29,CA     ,南亞期貨,999999  ,1,3325,4923,3644,6426,7361
2026/07/29,CB     ,中鋼期貨,202608  ,0,2226,4580,3109,4712,4767
2026/07/29,CB     ,中鋼期貨,202608  ,1,899,4580,1190,4671,4767
2026/07/29,CB     ,中鋼期貨,999999  ,0,2282,4642,3165,4789,4902
2026/07/29,CB     ,中鋼期貨,999999  ,1,899,4642,1190,4768,4902
2026/07/29,CC     ,聯電期貨,202608  ,0,23264,41685,34552,60223,78692
2026/07/29,CC     ,聯電期貨,202608  ,1,9514,41685,12302,60223,78692
2026/07/29,CC     ,聯電期貨,999999  ,0,25450,43928,37570,65132,87142
2026/07/29,CC     ,聯電期貨,999999  ,1,11700,43928,17220,65132,87142
2026/07/29,CD     ,台積電期貨,202608  ,0,7010,8560,9245,12298,20004
2026/07/29,CD     ,台積電期貨,202608  ,1,5244,8560,7129,11593,20004
2026/07/29,CD     ,台積電期貨,999999  ,0,12897,12369,15322,19048,32651
2026/07/29,CD     ,台積電期貨,999999  ,1,11131,12369,13206,19048,32651
2026/07/29,CE     ,富邦金期貨,202608  ,0,1772,1610,1864,1882,2012
2026/07/29,CE     ,富邦金期貨,202608  ,1,1452,1475,1514,1707,2012
2026/07/29,CE     ,富邦金期貨,999999  ,0,1792,1611,1884,1897,2039
2026/07/29,CE     ,富邦金期貨,999999  ,1,1472,1476,1534,1722,2039
2026/07/29,CF     ,台塑期貨,202608  ,0,1767,3063,2600,3752,4152
2026/07/29,CF     ,台塑期貨,202608  ,1,472,3063,791,3752,4152
2026/07/29,CF     ,台塑期貨,999999  ,0,2047,3733,2957,4686,5265
2026/07/29,CF     ,台塑期貨,999999  ,1,472,3733,657,4686,5265
2026/07/29,CG     ,仁寶期貨,202608  ,0,4410,7183,5741,7440,7477
2026/07/29,CG     ,仁寶期貨,202608  ,1,4410,7078,4988,7255,7477
2026/07/29,CG     ,仁寶期貨,999999  ,0,4439,7351,5904,7708,7825
2026/07/29,CG     ,仁寶期貨,999999  ,1,4439,7246,5036,7486,7825
2026/07/29,CH     ,友達期貨,202608  ,0,21489,33492,26097,34405,35233
2026/07/29,CH     ,友達期貨,202608  ,1,6486,33492,11094,33828,35233
2026/07/29,CH     ,友達期貨,999999  ,0,21489,35064,26552,36072,37119
2026/07/29,CH     ,友達期貨,999999  ,1,6486,35064,11549,35555,37119
2026/07/29,CJ     ,華南金期貨,202608  ,0,1161,1013,1178,1131,1185
2026/07/29,CJ     ,華南金期貨,202608  ,1,1062,893,1075,966,1185
2026/07/29,CJ     ,華南金期貨,999999  ,0,1206,1013,1229,1166,1243
2026/07/29,CJ     ,華南金期貨,999999  ,1,1107,893,1128,947,1243
2026/07/29,CK     ,國泰金期貨,202608  ,0,2462,1860,2608,2412,3015
2026/07/29,CK     ,國泰金期貨,202608  ,1,2426,1860,2451,2073,3015
2026/07/29,CK     ,國泰金期貨,999999  ,0,2508,1908,2662,2462,3127
2026/07/29,CK     ,國泰金期貨,999999  ,1,2472,1908,2497,2123,3127
2026/07/29,CL     ,兆豐金期貨,202608  ,0,1239,1009,1274,1160,1280
2026/07/29,CL     ,兆豐金期貨,202608  ,1,1189,959,1201,1025,1280
2026/07/29,CL     ,兆豐金期貨,999999  ,0,1259,1016,1298,1192,1319
2026/07/29,CL     ,兆豐金期貨,999999  ,1,1209,1016,1222,1057,1319
2026/07/29,CM     ,台新新光金期貨,202608  ,0,708,707,818,857,4981
2026/07/29,CM     ,台新新光金期貨,202608  ,1,447,707,526,857,4981
2026/07/29,CM     ,台新新光金期貨,999999  ,0,3681,4411,4636,4936,5551
2026/07/29,CM     ,台新新光金期貨,999999  ,1,2297,4411,3020,4766,5551
2026/07/29,CN     ,中信金期貨,202608  ,0,3111,3317,3445,3676,3872
2026/07/29,CN     ,中信金期貨,202608  ,1,3111,3127,3327,3396,3872
2026/07/29,CN     ,中信金期貨,999999  ,0,3143,3474,3596,3914,4145
2026/07/29,CN     ,中信金期貨,999999  ,1,3143,3031,3463,3381,4145
2026/07/29,CQ     ,統一期貨,202608  ,0,1534,824,1562,1071,1595
2026/07/29,CQ     ,統一期貨,202608  ,1,1534,738,1541,851,1595
2026/07/29,CQ     ,統一期貨,999999  ,0,1536,826,1564,1075,1599
2026/07/29,CQ     ,統一期貨,999999  ,1,1536,740,1543,855,1599
2026/07/29,CR     ,遠東新期貨,202608  ,0,318,386,448,559,609
2026/07/29,CR     ,遠東新期貨,202608  ,1,220,386,255,529,609
2026/07/29,CR     ,遠東新期貨,999999  ,0,318,415,466,588,641
2026/07/29,CR     ,遠東新期貨,999999  ,1,220,415,282,558,641
2026/07/29,CS     ,華新期貨,202608  ,0,2262,4003,2833,4363,4536
2026/07/29,CS     ,華新期貨,202608  ,1,486,4003,660,4363,4536
2026/07/29,CS     ,華新期貨,999999  ,0,2263,4186,2888,4614,4867
2026/07/29,CS     ,華新期貨,999999  ,1,486,4186,660,4547,4867
2026/07/29,CU     ,中環期貨,202608  ,0,114,114,135,144,149
2026/07/29,CU     ,中環期貨,202608  ,1,25,114,25,124,149
2026/07/29,CU     ,中環期貨,999999  ,0,116,122,138,153,158
2026/07/29,CU     ,中環期貨,999999  ,1,25,122,25,132,158
2026/07/29,CW     ,佳世達期貨,202608  ,0,191,367,249,417,432
2026/07/29,CW     ,佳世達期貨,202608  ,1,102,148,112,194,432
2026/07/29,CW     ,佳世達期貨,999999  ,0,373,578,448,652,679
2026/07/29,CW     ,佳世達期貨,999999  ,1,102,378,102,433,679
2026/07/29,CX     ,大同期貨,202608  ,0,652,1084,820,1159,1178
2026/07/29,CX     ,大同期貨,202608  ,1,306,1084,364,1159,1178
2026/07/29,CX     ,大同期貨,999999  ,0,682,1256,895,1332,1354
2026/07/29,CX     ,大同期貨,999999  ,1,306,1256,397,1332,1354
2026/07/29,CY     ,南亞科期貨,202608  ,0,5234,7889,6687,11363,13202
2026/07/29,CY     ,南亞科期貨,202608  ,1,743,7889,743,11363,13202
2026/07/29,CY     ,南亞科期貨,999999  ,0,5242,8203,7012,12116,14334
2026/07/29,CY     ,南亞科期貨,999999  ,1,1251,8203,1251,12116,14334
2026/07/29,CZ     ,長榮期貨,202608  ,0,2187,6033,3136,6301,6390
2026/07/29,CZ     ,長榮期貨,202608  ,1,1585,6033,1950,6301,6390
2026/07/29,CZ     ,長榮期貨,999999  ,0,3070,8383,4248,8764,8903
2026/07/29,CZ     ,長榮期貨,999999  ,1,1830,8383,2075,8764,8903
2026/07/29,DA     ,陽明期貨,202608  ,0,3268,4150,3622,4326,4435
2026/07/29,DA     ,陽明期貨,202608  ,1,818,4150,912,4326,4435
2026/07/29,DA     ,陽明期貨,999999  ,0,3268,4269,3640,4445,4568
2026/07/29,DA     ,陽明期貨,999999  ,1,818,4269,912,4445,4568
2026/07/29,DB     ,華航期貨,202608  ,0,1683,1955,2073,2652,3065
2026/07/29,DB     ,華航期貨,202608  ,1,379,1955,379,2652,3065
2026/07/29,DB     ,華航期貨,999999  ,0,1687,1987,2107,2684,3134
2026/07/29,DB     ,華航期貨,999999  ,1,379,1987,455,2684,3134
2026/07/29,DC     ,彰銀期貨,202608  ,0,397,277,427,378,429
2026/07/29,DC     ,彰銀期貨,202608  ,1,318,277,325,306,429
2026/07/29,DC     ,彰銀期貨,999999  ,0,410,309,464,410,469
2026/07/29,DC     ,彰銀期貨,999999  ,1,318,309,325,338,469
2026/07/29,DE     ,永豐金期貨,202608  ,0,462,416,536,519,1635
2026/07/29,DE     ,永豐金期貨,202608  ,1,71,416,76,504,1635
2026/07/29,DE     ,永豐金期貨,999999  ,0,1415,1001,1552,1346,1663
2026/07/29,DE     ,永豐金期貨,999999  ,1,1020,407,1069,619,1663
2026/07/29,DF     ,台泥期貨,202608  ,0,1192,1766,1432,2100,2288
2026/07/29,DF     ,台泥期貨,202608  ,1,937,1766,937,2100,2288
2026/07/29,DF     ,台泥期貨,999999  ,0,1657,2500,2013,3056,3366
2026/07/29,DF     ,台泥期貨,999999  ,1,937,2500,937,3056,3366
2026/07/29,DG     ,台化期貨,202608  ,0,4038,4734,4485,5500,5864
2026/07/29,DG     ,台化期貨,202608  ,1,425,4734,425,5500,5864
2026/07/29,DG     ,台化期貨,999999  ,0,4131,5340,4674,6144,6547
2026/07/29,DG     ,台化期貨,999999  ,1,648,5340,648,6144,6547
2026/07/29,DH     ,鴻海期貨,202608  ,0,14131,15083,14968,17272,19062
2026/07/29,DH     ,鴻海期貨,202608  ,1,14131,15083,14743,17272,19062
2026/07/29,DH     ,鴻海期貨,999999  ,0,19482,23352,21072,25873,28223
2026/07/29,DH     ,鴻海期貨,999999  ,1,19482,23352,20162,25873,28223
2026/07/29,DI     ,旺宏期貨,202608  ,0,3506,5881,4605,7979,9234
2026/07/29,DI     ,旺宏期貨,202608  ,1,792,5881,1278,7979,9234
2026/07/29,DI     ,旺宏期貨,999999  ,0,4081,7199,5299,9402,11086
2026/07/29,DI     ,旺宏期貨,999999  ,1,1667,7199,1906,9402,11086
2026/07/29,DJ     ,華碩期貨,202608  ,0,273,322,348,412,465
2026/07/29,DJ     ,華碩期貨,202608  ,1,158,273,211,345,465
2026/07/29,DJ     ,華碩期貨,999999  ,0,273,322,357,425,489
2026/07/29,DJ     ,華碩期貨,999999  ,1,158,273,230,358,489
2026/07/29,DK     ,廣達期貨,202608  ,0,4864,6958,6026,7764,7810
2026/07/29,DK     ,廣達期貨,202608  ,1,4864,6958,6026,7722,7810
2026/07/29,DK     ,廣達期貨,999999  ,0,4864,7043,6040,7910,7993
2026/07/29,DK     ,廣達期貨,999999  ,1,4864,7043,6040,7868,7993
2026/07/29,DL     ,中華電期貨,202608  ,0,277,299,391,397,487
2026/07/29,DL     ,中華電期貨,202608  ,1,191,268,285,324,487
2026/07/29,DL     ,中華電期貨,999999  ,0,278,299,392,397,495
2026/07/29,DL     ,中華電期貨,999999  ,1,192,268,286,324,495
2026/07/29,DN     ,玉山金期貨,202608  ,0,1480,1037,1674,1542,1796
2026/07/29,DN     ,玉山金期貨,202608  ,1,1412,1037,1499,1462,1796
2026/07/29,DN     ,玉山金期貨,999999  ,0,1499,1037,1726,1584,2002
2026/07/29,DN     ,玉山金期貨,999999  ,1,1431,1037,1485,1394,2002
2026/07/29,DO     ,元大金期貨,202608  ,0,638,512,715,678,813
2026/07/29,DO     ,元大金期貨,202608  ,1,528,512,562,639,813
2026/07/29,DO     ,元大金期貨,999999  ,0,642,520,719,686,821
2026/07/29,DO     ,元大金期貨,999999  ,1,529,520,563,647,821
2026/07/29,DP     ,第一金期貨,202608  ,0,1061,692,1082,968,1082
2026/07/29,DP     ,第一金期貨,202608  ,1,1014,692,1022,812,1082
2026/07/29,DP     ,第一金期貨,999999  ,0,1065,692,1089,977,1094
2026/07/29,DP     ,第一金期貨,999999  ,1,1018,692,1026,817,1094
2026/07/29,DQ     ,群創期貨,202608  ,0,7656,15511,10277,18273,22988
2026/07/29,DQ     ,群創期貨,202608  ,1,7656,15511,9747,16168,22988
2026/07/29,DQ     ,群創期貨,999999  ,0,7916,17312,10538,20074,25413
2026/07/29,DQ     ,群創期貨,999999  ,1,7916,17312,10008,17969,25413
2026/07/29,DS     ,宏碁期貨,202608  ,0,3122,5746,4406,6090,6194
2026/07/29,DS     ,宏碁期貨,202608  ,1,3122,5013,4274,5357,6194
2026/07/29,DS     ,宏碁期貨,999999  ,0,3133,5928,4443,6278,6463
2026/07/29,DS     ,宏碁期貨,999999  ,1,3133,5195,4311,5545,6463
2026/07/29,DV     ,聯發科期貨,202608  ,0,1645,2557,2185,3283,3900
2026/07/29,DV     ,聯發科期貨,202608  ,1,947,2557,1137,3283,3900
2026/07/29,DV     ,聯發科期貨,999999  ,0,2171,3150,2849,4092,4787
2026/07/29,DV     ,聯發科期貨,999999  ,1,1449,3150,1535,4092,4787
2026/07/29,DW     ,潤泰全期貨,202608  ,0,213,226,269,285,296
2026/07/29,DW     ,潤泰全期貨,202608  ,1,0,204,10,253,296
2026/07/29,DW     ,潤泰全期貨,999999  ,0,1012,1022,1101,1124,1146
2026/07/29,DW     ,潤泰全期貨,999999  ,1,0,1022,10,1090,1146
2026/07/29,DX     ,緯創期貨,202608  ,0,2902,4832,3741,5885,6468
2026/07/29,DX     ,緯創期貨,202608  ,1,2202,4832,2632,5727,6468
2026/07/29,DX     ,緯創期貨,999999  ,0,2902,5384,3846,6558,7328
2026/07/29,DX     ,緯創期貨,999999  ,1,2202,5384,2632,6400,7328
2026/07/29,DY     ,亞泥期貨,202608  ,0,421,322,547,440,590
2026/07/29,DY     ,亞泥期貨,202608  ,1,356,322,356,440,590
2026/07/29,DY     ,亞泥期貨,999999  ,0,426,322,553,441,600
2026/07/29,DY     ,亞泥期貨,999999  ,1,356,322,356,441,600
2026/07/29,DZ     ,大成期貨,202608  ,0,48,45,52,52,52
2026/07/29,DZ     ,大成期貨,202608  ,1,34,20,36,26,52
2026/07/29,DZ     ,大成期貨,999999  ,0,49,45,53,52,53
2026/07/29,DZ     ,大成期貨,999999  ,1,34,20,36,27,53
2026/07/29,E4F    ,臺灣永續期貨,202608  ,0,58,58,58,58,58
2026/07/29,E4F    ,臺灣永續期貨,202608  ,1,0,0,0,0,58
2026/07/29,E4F    ,臺灣永續期貨,999999  ,0,103,103,103,103,103
2026/07/29,E4F    ,臺灣永續期貨,999999  ,1,0,0,0,0,103
2026/07/29,EE     ,國喬期貨,202608  ,0,967,1627,1193,1634,1635
2026/07/29,EE     ,國喬期貨,202608  ,1,295,1623,343,1627,1635
2026/07/29,EE     ,國喬期貨,999999  ,0,967,1650,1199,1661,1664
2026/07/29,EE     ,國喬期貨,999999  ,1,295,1650,343,1655,1664
2026/07/29,EG     ,中石化期貨,202608  ,0,398,1143,584,1290,1302
2026/07/29,EG     ,中石化期貨,202608  ,1,240,1143,240,1281,1302
2026/07/29,EG     ,中石化期貨,999999  ,0,398,1149,598,1365,1380
2026/07/29,EG     ,中石化期貨,999999  ,1,240,1149,240,1356,1380
2026/07/29,EH     ,東陽期貨,202608  ,0,224,588,319,607,610
2026/07/29,EH     ,東陽期貨,202608  ,1,100,588,142,604,610
2026/07/29,EH     ,東陽期貨,999999  ,0,248,725,360,746,751
2026/07/29,EH     ,東陽期貨,999999  ,1,100,725,142,744,751
